0,0,-90.0,-86.4
0,1,-86.4,-82.8
0,2,-82.8,-79.2
0,3,-79.2,-75.6
0,4,-75.6,-72.0
0,5,-72.0,-68.4
0,6,-68.4,-64.8
0,7,-64.8,-61.2
0,8,-61.2,-57.6
0,9,-57.6,-54.0
0,10,-54.0,-50.4
0,11,-50.4,-46.8
0,12,-46.8,-43.2
0,13,-43.2,-39.6
0,14,-39.6,-36.0
0,15,-36.0,-32.4
0,16,-32.4,-28.8
0,17,-28.8,-25.2
0,18,-25.2,-21.6
0,19,-21.6,-18.0
0,20,-18.0,-14.4
0,21,-14.4,-10.8
0,22,-10.8,-7.2
0,23,-7.2,-3.6
0,24,-3.6,0.0
0,25,0.0,3.6
0,26,3.6,7.2
0,27,7.2,10.8
0,28,10.8,14.4
0,29,14.4,18.0
0,30,18.0,21.6
0,31,21.6,25.2
0,32,25.2,28.8
0,33,28.8,32.4
0,34,32.4,36.0
0,35,36.0,39.6
0,36,39.6,43.2
0,37,43.2,46.8
0,38,46.8,50.4
0,39,50.4,54.0
0,40,54.0,57.6
0,41,57.6,61.2
0,42,61.2,64.8
0,43,64.8,68.4
0,44,68.4,72.0
0,45,72.0,75.6
0,46,75.6,79.2
0,47,79.2,82.8
0,48,82.8,86.4
0,49,86.4,90
